Trial,reward1,reward2,feedback1,feedback2,f_reward,happiness,CR,EV,RPE
118,50,250,250,0,250,,0,125.0,125.0
119,20,0,56,0,0,88,0,28.0,-28.0
120,-50,0,0,-111,-50,,-50,0,0
121,-20,-33.6,0,-33.6,-33.6,,0,-16.8,-16.8
122,20,0,49.6,0,0,93,0,24.8,-24.8
123,20,0,84,0,0,,0,42.0,-42.0
124,30,50.4,50.4,0,50.4,100,0,25.2,25.2
125,20,0,44.4,0,0,,0,22.2,-22.2
126,0,160,160,-160,160,,0,0.0,160.0
127,-60,0,0,-189.6,-60,100,-60,0,0
128,-20,0,0,-84,0,,0,-42.0,42.0
129,0,-26,26,-26,-26,50,0,0.0,-26.0
130,20,44,44,0,44,,0,22.0,22.0
131,0,36,36,-36,36,,0,0.0,36.0
132,0,55,55,-55,55,100,0,0.0,55.0
133,60,0,252,0,0,,0,126.0,-126.0
134,30,0,54.6,0,0,100,0,27.3,-27.3
135,40,168,168,0,168,,0,84.0,84.0
136,0,-121,121,-121,-121,99,0,0.0,-121.0
137,-50,0,0,-84,0,,0,-42.0,42.0
138,0,-123,123,-123,-123,,0,0.0,-123.0
139,40,0,99.2,0,0,100,0,49.6,-49.6
140,-20,0,0,-72,-20,,-20,0,0
141,40,0,144,0,0,100,0,72.0,-72.0
142,0,9,9,-9,9,,0,0.0,9.0
143,20,0,63.2,0,0,100,0,31.6,-31.6
144,0,-57.2,57.2,-57.2,-57.2,,0,0.0,-57.2
145,0,-88,88,-88,-88,33,0,0.0,-88.0
146,60,0,132,0,0,,0,66.0,-66.0
147,-50,-250,0,-250,-50,0,-50,0,0
148,-40,-88.8,0,-88.8,-88.8,,0,-44.4,-44.4
149,-60,-148.8,0,-148.8,-148.8,,0,-74.4,-74.4
150,0,41.6,41.6,-41.6,41.6,12,0,0.0,41.6
