Trial,reward1,reward2,feedback1,feedback2,f_reward,happiness,CR,EV,RPE
130,30,0,108,0,0,,0,54.0,-54.0
131,-30,0,0,-94.8,-30,,-30,0,0
132,0,-41.6,41.6,-41.6,0,34,0,0,0
133,-40,-168,0,-168,-168,,0,-84.0,-84.0
134,50,84,84,0,50,32,50,0,0
135,50,124,124,0,50,,50,0,0
136,50,110,110,0,50,29,50,0,0
137,-30,-54.6,0,-54.6,-30,,-30,0,0
138,0,6,6,-6,0,,0,0,0
139,0,-52.8,52.8,-52.8,0,34,0,0,0
140,-50,0,0,-111,-50,,-50,0,0
141,-40,0,0,-88,0,37,0,-44.0,44.0
142,-20,0,0,-33.6,-20,,-20,0,0
143,30,0,66.6,0,0,38,0,33.3,-33.3
144,-60,-133.2,0,-133.2,-133.2,,0,-66.6,-66.6
145,60,0,300,0,0,15,0,150.0,-150.0
146,60,100.8,100.8,0,60,,60,0,0
147,60,0,252,0,0,24,0,126.0,-126.0
148,0,-36,36,-36,0,,0,0,0
149,-40,0,0,-126.4,-40,,-40,0,0
150,-20,-49.6,0,-49.6,-20,31,-20,0,0
